pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,longevity,basal_lvs,stem_lvs,total_lvs,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
GODA,Europe,Europe,UK,FI,UK07,2286,F,7,17.0,77.0,94.0,15.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,39,40,20,1.0,1.0,1.0
PRG,Europe,Europe,CH,FI,CH08,2287,F,6,16.0,84.0,100.0,19.0,6.0,0.0,26.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,73,74,37,2.0,2.0,2.0
SG,Europe,NorthAmerica,CA,CN,CA04,2288,V,6,58.0,28.0,86.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101,102,51,1.0,1.0,1.0
CRE2,Europe,Europe,UK,CN,UK06,2289,M,7,77.0,869.0,946.0,14.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,25,26,13,1.0,1.0,1.0
BER,Europe,Europe,CH,CN,CH05,2291,F,7,12.0,107.0,119.0,18.0,21.0,0.0,4.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,7,8,4,1.0,1.0,1.0
WEB,NorthAmerica,Europe,UK,CN,UK05,2292,V,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,114,57,4.0,4.0,4.0
EGR,Europe,NorthAmerica,VA,CN,VA11,2293,M,7,31.0,144.0,175.0,15.0,7.0,2.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,4.0,33,34,17,2.0,2.0,2.0
SAL,Europe,NorthAmerica,CA,FI,CA12,2294,V,7,48.0,18.0,66.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,93,94,47,1.0,1.0,1.0
AOFT,NorthAmerica,Europe,CH,FI,CH07,2295,M,2,0.0,31.0,31.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,4,2,3.0,3.0,3.0
JNS,NorthAmerica,Europe,CH,CN,CH07,2296,V,4,10.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45,46,23,4.0,4.0,4.0
FMN,NorthAmerica,NorthAmerica,CA,CN,CA03,2298,V,6,41.0,13.0,54.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,36,18,4.0,4.0,4.0
ROS,Europe,Europe,CH,CN,CH08,2299,M,6,28.0,64.0,92.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,85,86,43,1.0,1.0,1.0
CQQ,NorthAmerica,NorthAmerica,CA,CN,CA07,2301,F,7,63.0,42.0,105.0,10.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23,24,12,3.0,3.0,3.0
VES,Europe,NorthAmerica,VA,FI,VA01,2302,F,4,17.0,30.0,47.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,112,56,,,
RDGP,NorthAmerica,NorthAmerica,CA,CN,CA09,2303,M,7,58.0,137.0,195.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,77,78,39,3.0,3.0,3.0
ORNOL,NorthAmerica,NorthAmerica,VA,CN,VA11,2304,V,7,71.0,31.0,102.0,10.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,63,64,32,3.0,3.0,3.0
CHELD1,NorthAmerica,Europe,UK,FI,UK10,2305,F,7,20.0,966.0,986.0,23.0,7.0,9.0,156.0,2.0,3.0,0.0,0.0,4.0,1.0,1.0,17,18,9,3.0,3.0,3.0
SRVR2,NorthAmerica,NorthAmerica,VA,FI,VA09,2306,V,7,47.0,45.0,92.0,12.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,105,106,53,1.0,1.0,1.0
JHN,NorthAmerica,NorthAmerica,CA,CN,CA04,2307,V,7,97.0,21.0,118.0,9.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,43,44,22,4.0,4.0,4.0
KBS,NorthAmerica,Europe,CH,CN,CH05,2308,V,4,31.0,9.0,40.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,47,48,24,4.0,4.0,4.0
CRE2,Europe,NorthAmerica,VA,FI,VA08,2309,F,7,62.0,20.0,82.0,12.0,28.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,25,26,13,1.0,1.0,1.0
DCK,NorthAmerica,NorthAmerica,CA,FI,CA03,2310,F,7,72.0,27.0,99.0,15.0,7.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27,28,14,4.0,4.0,4.0
RVVW,NorthAmerica,Europe,CH,CN,CH02,2311,V,2,0.0,18.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91,92,46,5.0,5.0,5.0
SCR,NorthAmerica,Europe,UK,FI,UK01,2312,V,3,35.0,2.0,37.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,99,100,50,3.0,3.0,3.0
CHELL,NorthAmerica,NorthAmerica,CA,CN,CA12,2313,F,6,32.0,38.0,70.0,12.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,22,11,3.0,3.0,3.0
KBS,NorthAmerica,Europe,UK,FI,UK05,2314,V,2,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,48,24,4.0,4.0,4.0
SG,Europe,Europe,UK,FI,UK02,2315,M,6,32.0,88.0,120.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,101,102,51,1.0,1.0,1.0
SASB,NorthAmerica,NorthAmerica,CA,FI,CA09,2317,V,7,87.0,46.0,133.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,97,98,49,5.0,5.0,5.0
ORNOL,NorthAmerica,Europe,UK,CN,UK11,2318,V,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,64,32,3.0,3.0,3.0
BER,Europe,Europe,CH,CN,CH06,2319,M,5,34.0,46.0,80.0,8.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7,8,4,1.0,1.0,1.0
PDRV,NorthAmerica,Europe,UK,CN,UK02,2320,V,6,6.0,105.0,111.0,11.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,67,68,34,5.0,5.0,5.0
FMN,NorthAmerica,Europe,CH,CN,CH03,2321,V,5,19.0,20.0,39.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,36,18,4.0,4.0,4.0
