pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,longevity,basal_lvs,stem_lvs,total_lvs,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
JHN,NorthAmerica,Europe,UK,FI,UK03,1,V,1,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,44,22,4.0,4.0,4.0
BZE,Europe,Europe,CH,FI,CH04,3,M,3,70.0,40.0,110.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9,10,5,2.0,2.0,2.0
KIS,Europe,NorthAmerica,CA,CN,CA12,4,M,7,66.0,68.0,134.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49,50,25,2.0,2.0,2.0
BZE,Europe,NorthAmerica,VA,FI,VA07,5,M,3,23.0,26.0,49.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,10,5,2.0,2.0,2.0
CRE2,Europe,NorthAmerica,VA,CN,VA07,6,F,7,110.0,85.0,195.0,17.0,28.0,0.0,3.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,25,26,13,1.0,1.0,1.0
MLBS,NorthAmerica,NorthAmerica,CA,CN,CA06,7,F,7,83.0,43.0,126.0,16.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55,56,28,3.0,3.0,3.0
RNKE,NorthAmerica,NorthAmerica,CA,FI,CA08,8,V,7,37.0,57.0,94.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,79,80,40,3.0,3.0,3.0
KBS,NorthAmerica,NorthAmerica,CA,FI,CA05,9,M,7,43.0,72.0,115.0,11.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,48,24,4.0,4.0,4.0
CHELL,NorthAmerica,Europe,UK,CN,UK12,10,V,1,5.0,20.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,22,11,3.0,3.0,3.0
CRE2,Europe,Europe,CH,FI,CH12,11,V,3,15.0,12.0,27.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,26,13,1.0,1.0,1.0
DCK,NorthAmerica,Europe,UK,FI,UK03,12,V,2,31.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,28,14,4.0,4.0,4.0
GODA,Europe,Europe,UK,FI,UK04,13,V,5,55.0,60.0,115.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,39,40,20,1.0,1.0,1.0
SASA,NorthAmerica,NorthAmerica,VA,FI,VA01,14,F,7,24.0,56.0,80.0,13.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,95,96,48,5.0,5.0,5.0
SG,Europe,NorthAmerica,CA,CN,CA09,15,F,7,81.0,118.0,199.0,13.0,28.0,1.0,6.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,101,102,51,1.0,1.0,1.0
ZAG,Europe,NorthAmerica,CA,CN,CA03,16,V,6,68.0,17.0,85.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,117,118,59,2.0,2.0,2.0
RVVW,NorthAmerica,Europe,CH,FI,CH02,18,F,2,11.0,40.0,51.0,6.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,91,92,46,5.0,5.0,5.0
WEB,NorthAmerica,NorthAmerica,VA,CN,VA05,19,V,6,5.0,83.0,88.0,10.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,113,114,57,4.0,4.0,4.0
KIS,Europe,Europe,CH,FI,CH03,20,V,2,29.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49,50,25,2.0,2.0,2.0
WEB,NorthAmerica,Europe,CH,FI,CH05,21,V,2,0.0,18.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,113,114,57,4.0,4.0,4.0
JHN,NorthAmerica,NorthAmerica,VA,FI,VA03,23,M,7,113.0,36.0,149.0,11.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,43,44,22,4.0,4.0,4.0
AOFT,NorthAmerica,Europe,CH,CN,CH07,24,M,2,0.0,42.0,42.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,4,2,3.0,3.0,3.0
PRG,Europe,NorthAmerica,VA,FI,VA06,25,V,4,28.0,9.0,37.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,73,74,37,2.0,2.0,2.0
DK5,Europe,NorthAmerica,VA,CN,VA06,26,F,7,193.0,356.0,549.0,16.0,28.0,3.0,11.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,29,30,15,2.0,2.0,2.0
GAP,Europe,Europe,UK,CN,UK01,27,V,2,11.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,38,19,1.0,1.0,1.0
ROD,Europe,Europe,CH,CN,CH06,28,F,4,12.0,48.0,60.0,12.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,83,84,42,1.0,1.0,1.0
SVL1,Europe,Europe,UK,CN,UK08,29,V,7,32.0,85.0,117.0,13.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,107,108,54,2.0,2.0,2.0
EGR,Europe,NorthAmerica,CA,FI,CA03,30,V,5,14.0,1.0,15.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33,34,17,2.0,2.0,2.0
SAL,Europe,NorthAmerica,CA,FI,CA11,31,V,2,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,94,47,1.0,1.0,1.0
SAL,Europe,Europe,UK,FI,UK02,32,V,7,74.0,39.0,113.0,9.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,93,94,47,1.0,1.0,1.0
PDRV,NorthAmerica,Europe,CH,FI,CH02,33,M,2,8.0,12.0,20.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,67,68,34,5.0,5.0,5.0
KIS,Europe,Europe,UK,CN,UK06,34,V,2,2.0,10.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,50,25,2.0,2.0,2.0
PRG,Europe,NorthAmerica,VA,FI,VA08,35,M,7,23.0,85.0,108.0,15.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,73,74,37,2.0,2.0,2.0
ROD,Europe,Europe,CH,FI,CH03,36,V,6,29.0,14.0,43.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,83,84,42,1.0,1.0,1.0
PDRV,NorthAmerica,Europe,CH,CN,CH02,37,V,2,12.0,12.0,24.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,67,68,34,5.0,5.0,5.0
FMN,NorthAmerica,Europe,UK,FI,UK03,38,V,7,42.0,42.0,84.0,10.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,35,36,18,4.0,4.0,4.0
VES,Europe,Europe,CH,FI,CH12,39,F,2,2.0,53.0,55.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,111,112,56,,,
GODA,Europe,Europe,UK,CN,UK01,40,V,3,49.0,0.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,39,40,20,1.0,1.0,1.0
AOFT,NorthAmerica,Europe,CH,CN,CH07,41,F,2,0.0,52.0,52.0,7.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,4,2,3.0,3.0,3.0
MLBS,NorthAmerica,Europe,CH,FI,CH06,42,M,7,45.0,335.0,380.0,15.0,21.0,84.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,55,56,28,3.0,3.0,3.0
ROD,Europe,NorthAmerica,VA,CN,VA01,43,V,7,26.0,25.0,51.0,9.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,83,84,42,1.0,1.0,1.0
CHELD1,NorthAmerica,NorthAmerica,VA,FI,VA10,44,F,7,35.0,199.0,234.0,18.0,7.0,1.0,14.0,0.0,2.0,4.0,16.0,9.0,0.0,4.0,17,18,9,3.0,3.0,3.0
CHELL,NorthAmerica,Europe,CH,CN,CH12,45,V,2,61.0,0.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,22,11,3.0,3.0,3.0
SASA,NorthAmerica,NorthAmerica,VA,FI,VA01,46,V,7,22.0,33.0,55.0,12.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,95,96,48,5.0,5.0,5.0
RNKE,NorthAmerica,Europe,UK,CN,UK08,47,M,6,2.0,143.0,145.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,79,80,40,3.0,3.0,3.0
FMN,NorthAmerica,NorthAmerica,VA,CN,VA03,48,F,7,17.0,72.0,89.0,16.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,35,36,18,4.0,4.0,4.0
RUZ,Europe,NorthAmerica,VA,CN,VA09,51,F,7,52.0,51.0,103.0,16.0,28.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,89,90,45,1.0,1.0,1.0
KIS,Europe,Europe,UK,CN,UK06,52,V,6,2.0,200.0,202.0,11.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,49,50,25,2.0,2.0,2.0
SASA,NorthAmerica,NorthAmerica,VA,CN,VA01,53,F,6,54.0,22.0,76.0,8.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,95,96,48,5.0,5.0,5.0
CRE2,Europe,Europe,UK,CN,UK01,54,F,7,3.0,175.0,178.0,19.0,7.0,1.0,12.0,2.0,2.0,0.0,0.0,9.0,0.0,1.0,25,26,13,1.0,1.0,1.0
PRG,Europe,NorthAmerica,CA,FI,CA03,56,M,7,74.0,21.0,95.0,11.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,74,37,2.0,2.0,2.0
CQQ,NorthAmerica,Europe,UK,CN,UK07,57,F,7,33.0,92.0,125.0,14.0,14.0,4.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,23,24,12,3.0,3.0,3.0
PLZ,Europe,NorthAmerica,CA,CN,CA04,58,V,7,68.0,36.0,104.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,71,72,36,2.0,2.0,2.0
NAS,NorthAmerica,Europe,UK,FI,UK06,59,F,7,45.0,475.0,520.0,22.0,7.0,14.0,45.0,4.0,4.0,0.0,0.0,3.0,0.0,2.0,61,62,31,3.0,3.0,3.0
CHELD2,NorthAmerica,Europe,UK,FI,UK08,60,F,7,68.0,147.0,215.0,16.0,21.0,0.0,6.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,19,20,10,3.0,3.0,3.0
OSE1,Europe,Europe,CH,FI,CH06,61,V,3,25.0,0.0,25.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,65,66,33,1.0,1.0,1.0
RNKE,NorthAmerica,NorthAmerica,VA,FI,VA08,62,V,5,48.0,16.0,64.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,79,80,40,3.0,3.0,3.0
GODA,Europe,NorthAmerica,CA,CN,CA12,63,M,6,61.0,54.0,115.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39,40,20,1.0,1.0,1.0
SASA,NorthAmerica,NorthAmerica,VA,FI,VA01,64,F,7,85.0,44.0,129.0,13.0,28.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,95,96,48,5.0,5.0,5.0
SRVR2,NorthAmerica,Europe,UK,FI,UK10,65,F,4,19.0,119.0,138.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,105,106,53,1.0,1.0,1.0
DK5,Europe,NorthAmerica,CA,FI,CA12,66,V,4,8.0,22.0,30.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,30,15,2.0,2.0,2.0
VES,Europe,NorthAmerica,CA,CN,CA01,68,F,5,19.0,31.0,50.0,10.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,111,112,56,,,
ZAG,Europe,Europe,CH,CN,CH07,69,F,5,53.0,74.0,127.0,10.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,117,118,59,2.0,2.0,2.0
PRG,Europe,Europe,CH,FI,CH05,70,V,2,10.0,24.0,34.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,73,74,37,2.0,2.0,2.0
RRW,NorthAmerica,Europe,CH,CN,CH02,72,V,2,26.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,87,88,44,5.0,5.0,5.0
WEB,NorthAmerica,NorthAmerica,CA,FI,CA05,73,F,7,44.0,96.0,140.0,19.0,7.0,2.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,113,114,57,4.0,4.0,4.0
DCK,NorthAmerica,NorthAmerica,VA,CN,VA03,74,F,7,44.0,100.0,144.0,20.0,7.0,0.0,8.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,27,28,14,4.0,4.0,4.0
BDA,Europe,NorthAmerica,CA,CN,CA01,75,F,7,60.0,108.0,168.0,13.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5,6,3,2.0,2.0,2.0
EGR,Europe,NorthAmerica,CA,FI,CA09,76,V,7,114.0,37.0,151.0,12.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,33,34,17,2.0,2.0,2.0
CHELL,NorthAmerica,Europe,UK,FI,UK12,77,V,2,25.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,21,22,11,3.0,3.0,3.0
WEB,NorthAmerica,NorthAmerica,VA,FI,VA05,78,F,6,63.0,154.0,217.0,16.0,6.0,1.0,22.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,113,114,57,4.0,4.0,4.0
BER,Europe,Europe,CH,CN,CH08,79,V,3,16.0,10.0,26.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7,8,4,1.0,1.0,1.0
NAS,NorthAmerica,NorthAmerica,VA,CN,VA05,80,M,6,36.0,54.0,90.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,61,62,31,3.0,3.0,3.0
WHS,NorthAmerica,Europe,UK,CN,UK04,82,V,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,116,58,4.0,4.0,4.0
SASA,NorthAmerica,Europe,CH,CN,CH01,84,V,1,14.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,95,96,48,5.0,5.0,5.0
RRW,NorthAmerica,NorthAmerica,VA,CN,VA01,85,F,7,49.0,47.0,96.0,13.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,87,88,44,5.0,5.0,5.0
SASA,NorthAmerica,Europe,UK,CN,UK01,86,V,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,96,48,5.0,5.0,5.0
FMN,NorthAmerica,NorthAmerica,VA,FI,VA03,87,M,7,73.0,169.0,242.0,16.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,35,36,18,4.0,4.0,4.0
BER,Europe,NorthAmerica,CA,CN,CA08,88,V,6,46.0,12.0,58.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7,8,4,1.0,1.0,1.0
ZAG,Europe,Europe,UK,CN,UK06,89,V,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,118,59,2.0,2.0,2.0
SASA,NorthAmerica,Europe,UK,FI,UK01,90,V,2,9.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,95,96,48,5.0,5.0,5.0
FMN,NorthAmerica,Europe,CH,CN,CH03,91,F,5,32.0,140.0,172.0,15.0,5.0,1.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,35,36,18,4.0,4.0,4.0
KIS,Europe,NorthAmerica,VA,CN,VA05,92,F,7,33.0,82.0,115.0,16.0,7.0,0.0,3.0,0.0,2.0,3.0,0.0,5.0,2.0,3.0,49,50,25,2.0,2.0,2.0
RDGP,NorthAmerica,Europe,CH,CN,CH09,93,F,4,35.0,22.0,57.0,7.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,77,78,39,3.0,3.0,3.0
MAI,Europe,NorthAmerica,VA,CN,VA02,95,F,7,48.0,71.0,119.0,17.0,7.0,0.0,3.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,53,54,27,1.0,1.0,1.0
ZAG,Europe,Europe,UK,CN,UK04,98,V,2,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,118,59,2.0,2.0,2.0
MSP,NorthAmerica,NorthAmerica,VA,FI,VA07,99,M,2,4.0,46.0,50.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,60,30,3.0,3.0,3.0
SVL1,Europe,Europe,UK,CN,UK10,102,M,7,8.0,267.0,275.0,19.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,107,108,54,2.0,2.0,2.0
RNY,NorthAmerica,NorthAmerica,VA,FI,VA12,103,V,6,52.0,20.0,72.0,8.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,81,82,41,4.0,4.0,4.0
DCK,NorthAmerica,NorthAmerica,VA,CN,VA03,104,M,7,79.0,126.0,205.0,16.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,27,28,14,4.0,4.0,4.0
WEB,NorthAmerica,NorthAmerica,CA,CN,CA05,106,F,7,37.0,143.0,180.0,19.0,7.0,2.0,35.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,113,114,57,4.0,4.0,4.0
DCK,NorthAmerica,Europe,CH,CN,CH03,107,M,3,28.0,14.0,42.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,28,14,4.0,4.0,4.0
AOFT,NorthAmerica,NorthAmerica,VA,FI,VA07,108,F,7,14.0,76.0,90.0,18.0,7.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,3,4,2,3.0,3.0,3.0
MSP,NorthAmerica,NorthAmerica,VA,CN,VA07,109,V,5,39.0,32.0,71.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,59,60,30,3.0,3.0,3.0
23S,NorthAmerica,NorthAmerica,CA,FI,CA06,110,M,6,68.0,40.0,108.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2,1,3.0,3.0,3.0
MSP,NorthAmerica,Europe,CH,CN,CH07,111,V,1,10.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59,60,30,3.0,3.0,3.0
NAS,NorthAmerica,Europe,CH,FI,CH06,112,M,5,20.0,26.0,46.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,61,62,31,3.0,3.0,3.0
JHN,NorthAmerica,NorthAmerica,VA,CN,VA03,114,M,7,43.0,112.0,155.0,16.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,43,44,22,4.0,4.0,4.0
RNKE,NorthAmerica,Europe,UK,CN,UK08,115,F,7,55.0,433.0,488.0,22.0,7.0,6.0,20.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,79,80,40,3.0,3.0,3.0
ZAG,Europe,NorthAmerica,VA,FI,VA01,116,M,7,12.0,77.0,89.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,117,118,59,2.0,2.0,2.0
FMN,NorthAmerica,Europe,CH,CN,CH03,117,M,3,21.0,19.0,40.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,35,36,18,4.0,4.0,4.0
ZAG,Europe,Europe,CH,FI,CH01,118,F,5,25.0,131.0,156.0,12.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,117,118,59,2.0,2.0,2.0
CHELL,NorthAmerica,NorthAmerica,VA,CN,VA12,119,F,3,31.0,20.0,51.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,22,11,3.0,3.0,3.0
MSP,NorthAmerica,NorthAmerica,CA,CN,CA07,120,F,7,54.0,23.0,77.0,11.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,59,60,30,3.0,3.0,3.0
ZAG,Europe,NorthAmerica,VA,CN,VA12,122,F,7,22.0,92.0,114.0,14.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,117,118,59,2.0,2.0,2.0
PRG,Europe,NorthAmerica,VA,FI,VA08,123,F,7,34.0,75.0,109.0,16.0,7.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,3.0,73,74,37,2.0,2.0,2.0
MAI,Europe,Europe,UK,FI,UK07,124,F,7,31.0,1062.0,1093.0,19.0,7.0,3.0,4.0,0.0,2.0,4.0,132.0,4.0,1.0,4.0,53,54,27,1.0,1.0,1.0
RDGP,NorthAmerica,Europe,CH,CN,CH09,125,V,1,5.0,22.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77,78,39,3.0,3.0,3.0
KBS,NorthAmerica,Europe,CH,FI,CH05,126,V,2,14.0,6.0,20.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,47,48,24,4.0,4.0,4.0
KBS,NorthAmerica,NorthAmerica,CA,FI,CA05,127,M,7,113.0,184.0,297.0,13.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,47,48,24,4.0,4.0,4.0
BDA,Europe,Europe,CH,FI,CH11,129,V,2,27.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5,6,3,2.0,2.0,2.0
SRVR2,NorthAmerica,Europe,CH,CN,CH10,131,F,3,7.0,38.0,45.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,105,106,53,1.0,1.0,1.0
DCK,NorthAmerica,NorthAmerica,CA,FI,CA03,132,V,7,41.0,14.0,55.0,9.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,27,28,14,4.0,4.0,4.0
JHN,NorthAmerica,NorthAmerica,VA,FI,VA03,133,F,5,20.0,32.0,52.0,11.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43,44,22,4.0,4.0,4.0
CHELD2,NorthAmerica,NorthAmerica,CA,CN,CA08,134,F,7,29.0,22.0,51.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19,20,10,3.0,3.0,3.0
SASB,NorthAmerica,NorthAmerica,VA,FI,VA09,136,F,7,8.0,48.0,56.0,14.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,97,98,49,5.0,5.0,5.0
GODA,Europe,NorthAmerica,VA,CN,VA02,137,M,5,36.0,19.0,55.0,10.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,39,40,20,1.0,1.0,1.0
ORNOL,NorthAmerica,Europe,CH,CN,CH11,138,M,2,6.0,22.0,28.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,64,32,3.0,3.0,3.0
CHELL,NorthAmerica,NorthAmerica,VA,FI,VA12,139,F,4,31.0,16.0,47.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,22,11,3.0,3.0,3.0
KIS,Europe,Europe,UK,CN,UK12,142,V,1,8.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,50,25,2.0,2.0,2.0
ROS,Europe,NorthAmerica,VA,FI,VA06,143,M,7,21.0,49.0,70.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85,86,43,1.0,1.0,1.0
PRT,Europe,NorthAmerica,CA,CN,CA12,144,V,7,27.0,37.0,64.0,10.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,75,76,38,1.0,1.0,1.0
KIS,Europe,NorthAmerica,VA,CN,VA02,145,V,7,38.0,31.0,69.0,15.0,7.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,4.0,49,50,25,2.0,2.0,2.0
WHS,NorthAmerica,NorthAmerica,CA,CN,CA04,146,M,6,54.0,10.0,64.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,116,58,4.0,4.0,4.0
KBS,NorthAmerica,NorthAmerica,VA,FI,VA05,149,M,4,99.0,31.0,130.0,7.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,47,48,24,4.0,4.0,4.0
ROD,Europe,NorthAmerica,CA,FI,CA05,150,M,7,130.0,20.0,150.0,9.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,84,42,1.0,1.0,1.0
BER,Europe,Europe,CH,FI,CH03,151,V,3,13.0,16.0,29.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7,8,4,1.0,1.0,1.0
JHN,NorthAmerica,NorthAmerica,CA,CN,CA04,152,F,6,90.0,38.0,128.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,44,22,4.0,4.0,4.0
DCK,NorthAmerica,NorthAmerica,CA,CN,CA03,153,V,7,52.0,28.0,80.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,28,14,4.0,4.0,4.0
FMN,NorthAmerica,NorthAmerica,VA,CN,VA03,156,M,7,38.0,49.0,87.0,12.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,35,36,18,4.0,4.0,4.0
