plant_ID,ID,sire,dam,subpop,sire.pop,dam.pop,Structure_region
2842,190,15,16,8,2,2,2
2848,191,15,16,8,2,2,2
2837,192,15,16,8,2,2,2
2849,193,15,16,8,2,2,2
2867,194,15,16,8,2,2,2
2861,195,15,16,8,2,2,2
2874,196,15,16,8,2,2,2
2843,197,15,16,8,2,2,2
2841,198,15,16,8,2,2,2
2831,199,15,16,8,2,2,2
2836,200,15,16,8,2,2,2
1848,201,17,18,9,3,3,3
755,202,17,18,9,3,3,3
1850,203,17,18,9,3,3,3
820,204,17,18,9,3,3,3
1206,205,17,18,9,3,3,3
639,206,17,18,9,3,3,3
499,207,17,18,9,3,3,3
2470,208,17,18,9,3,3,3
308,209,17,18,9,3,3,3
2374,210,17,18,9,3,3,3
746,211,17,18,9,3,3,3
379,212,17,18,9,3,3,3
798,213,17,18,9,3,3,3
927,214,17,18,9,3,3,3
1732,215,17,18,9,3,3,3
539,216,17,18,9,3,3,3
1613,217,17,18,9,3,3,3
2346,218,17,18,9,3,3,3
2617,219,17,18,9,3,3,3
2029,220,17,18,9,3,3,3
2305,221,17,18,9,3,3,3
580,222,17,18,9,3,3,3
853,223,17,18,9,3,3,3
561,224,17,18,9,3,3,3
1812,225,17,18,9,3,3,3
44,226,17,18,9,3,3,3
2604,227,17,18,9,3,3,3
1699,228,17,18,9,3,3,3
2378,229,17,18,9,3,3,3
2152,230,17,18,9,3,3,3
1450,231,17,18,9,3,3,3
740,232,17,18,9,3,3,3
1401,233,17,18,9,3,3,3
2037,234,17,18,9,3,3,3
1354,235,17,18,9,3,3,3
1130,236,17,18,9,3,3,3
623,237,19,20,10,3,3,3
2450,238,19,20,10,3,3,3
1196,239,19,20,10,3,3,3
591,240,19,20,10,3,3,3
2496,241,19,20,10,3,3,3
581,242,19,20,10,3,3,3
2489,243,19,20,10,3,3,3
2377,244,19,20,10,3,3,3
1977,245,19,20,10,3,3,3
1656,246,19,20,10,3,3,3
620,247,19,20,10,3,3,3
2114,248,19,20,10,3,3,3
1324,249,19,20,10,3,3,3
2206,250,19,20,10,3,3,3
2435,251,19,20,10,3,3,3
354,252,19,20,10,3,3,3
1617,253,19,20,10,3,3,3
2008,254,19,20,10,3,3,3
1273,255,19,20,10,3,3,3
466,256,19,20,10,3,3,3
672,257,19,20,10,3,3,3
950,258,19,20,10,3,3,3
947,259,19,20,10,3,3,3
460,260,19,20,10,3,3,3
919,261,19,20,10,3,3,3
842,262,19,20,10,3,3,3
60,263,19,20,10,3,3,3
1268,264,19,20,10,3,3,3
1489,265,19,20,10,3,3,3
2020,266,19,20,10,3,3,3
134,267,19,20,10,3,3,3
1132,268,19,20,10,3,3,3
325,269,21,22,11,3,3,3
2188,270,21,22,11,3,3,3
881,271,21,22,11,3,3,3
530,272,21,22,11,3,3,3
2203,273,21,22,11,3,3,3
1328,274,21,22,11,3,3,3
340,275,21,22,11,3,3,3
2539,276,21,22,11,3,3,3
2538,277,21,22,11,3,3,3
1836,278,21,22,11,3,3,3
2257,279,21,22,11,3,3,3
2259,280,21,22,11,3,3,3
119,281,21,22,11,3,3,3
139,282,21,22,11,3,3,3
2379,283,21,22,11,3,3,3
1698,284,21,22,11,3,3,3
2313,285,21,22,11,3,3,3
336,286,21,22,11,3,3,3
1715,287,21,22,11,3,3,3
2021,288,21,22,11,3,3,3
1107,289,21,22,11,3,3,3
252,290,23,24,12,3,3,3
312,291,23,24,12,3,3,3
1326,292,23,24,12,3,3,3
483,293,23,24,12,3,3,3
167,294,23,24,12,3,3,3
2246,295,23,24,12,3,3,3
489,296,23,24,12,3,3,3
983,297,23,24,12,3,3,3
179,298,23,24,12,3,3,3
2235,299,23,24,12,3,3,3
1749,300,23,24,12,3,3,3
2454,301,23,24,12,3,3,3
187,302,23,24,12,3,3,3
2103,303,23,24,12,3,3,3
404,304,23,24,12,3,3,3
855,305,23,24,12,3,3,3
914,306,23,24,12,3,3,3
2467,307,23,24,12,3,3,3
1723,308,23,24,12,3,3,3
1482,309,23,24,12,3,3,3
988,310,23,24,12,3,3,3
243,311,23,24,12,3,3,3
2546,312,23,24,12,3,3,3
276,313,23,24,12,3,3,3
57,314,23,24,12,3,3,3
1546,315,23,24,12,3,3,3
582,316,23,24,12,3,3,3
1858,317,23,24,12,3,3,3
695,318,23,24,12,3,3,3
2301,319,23,24,12,3,3,3
2005,320,23,24,12,3,3,3
2071,321,25,26,13,1,1,1
1989,322,25,26,13,1,1,1
251,323,25,26,13,1,1,1
2156,324,25,26,13,1,1,1
327,325,25,26,13,1,1,1
1525,326,25,26,13,1,1,1
852,327,25,26,13,1,1,1
771,328,25,26,13,1,1,1
2289,329,25,26,13,1,1,1
1014,330,25,26,13,1,1,1
1776,331,25,26,13,1,1,1
2510,332,25,26,13,1,1,1
2336,333,25,26,13,1,1,1
1609,334,25,26,13,1,1,1
161,335,25,26,13,1,1,1
211,336,25,26,13,1,1,1
543,337,25,26,13,1,1,1
1955,338,25,26,13,1,1,1
1730,339,25,26,13,1,1,1
2030,340,25,26,13,1,1,1
394,341,25,26,13,1,1,1
2641,342,25,26,13,1,1,1
747,343,25,26,13,1,1,1
400,344,25,26,13,1,1,1
54,345,25,26,13,1,1,1
1105,346,25,26,13,1,1,1
785,347,25,26,13,1,1,1
962,348,25,26,13,1,1,1
892,349,25,26,13,1,1,1
6,350,25,26,13,1,1,1
